term,estimate,std.error,statistic,p.value
(Intercept),1235.4433072417603,243.5777895721386,5.072068801559874,8.149024307484283e-7
promo1,342.0084880895279,43.098383190435946,7.9355294275963395,9.412111446359723e-14
seasonD,-317.76045214265827,44.590343526548054,-7.126216732406896,1.3439719758187528e-11
seasonC,-171.27506100241655,46.53554318760317,-3.6805213664733447,2.9054305255317176e-4
"poly(price_c, 2, raw = TRUE)1",-144.36767287391442,20.031565273596776,-7.207009083019722,8.304994876150868e-12
log_search,115.28441622176418,23.840703597629908,4.835612998989888,2.4415847192502857e-6
"poly(price_c, 2, raw = TRUE)1:promo1",-60.076376200613424,35.74435484747189,-1.6807234724747726,0.09418605126993766
log_social,50.23542363929487,22.164759861405354,2.2664546764058513,0.024361667632248327
log_tv,27.74359831008734,22.454782100605286,1.2355318428736608,0.2179041721055399
"poly(price_c, 2, raw = TRUE)2:promo1",20.424572258055832,26.105148772087094,0.7823963171546752,0.43479351045879266
seasonB,-10.707679325826867,46.770145677836915,-0.22894261222925677,0.8191187443111431
"poly(price_c, 2, raw = TRUE)2",5.145613161932665,13.655490706516586,0.37681642297022017,0.7066604934651626
